Name,Style,ABV,IBU,Ingredients,oz,cost,Type,Place.0,Place.1,Place.2,Place.3,Place.4,Images
Sud Puddles,"German, Ale, ",5.50%,21,"Liberty hops, Grainy malt",16,$6.00 ,"Pub, Brewery",Six car pub and Brewery,,,,,Six car.png
Make Good Choices,"American, ",6.20%,50,"Peach, Tropical Fruit",16,$7.00 ,"Pub, Brewery",Six car pub and Brewery,,,,,Six car.png
Buried Hatchet ,"Stout- American,",8.25%,50,"Creamy toffe, Roasted malt",12,$5.50 ,Bar,Georgia Street Taphouse,Texas Firehouse Sports,Walk-On's Sports Bistreaux,House Divide,The Big Texan,Buried Hatchet.png
Guinness Draught ,Stout-Irish Dry,4.20%,45,Light malt,12,$5.75 ,Bar,Georgia Street Taphouse,Texas Firehouse Sports,Walk-On's Sports Bistreaux,House Divide,The Big Texan,Guinness.png
 Corona Premier ,Lager-Amercan Light,4%,7,"Mild, malty",12,$5.50 ,Bar,Georgia Street Taphouse,Texas Firehouse Sports,Walk-On's Sports Bistreaux,House Divide,The Big Texan,Corona.png
Modelo Especial ,Lager-American,4.50%,18,"Honey, pilsner",12,$4.75 ,Bar,Georgia Street Taphouse,Texas Firehouse Sports,Walk-On's Sports Bistreaux,House Divide,The Big Texan,Modelo.png
Stella Artois ,Pilsner,5%,24,Stella Artois yeast,12,$5.75 ,Bar,Georgia Street Taphouse,Texas Firehouse Sports,Walk-On's Sports Bistreaux,House Divide,The Big Texan,Stella Artois.png
Dos Equis ,Lager,4.20%,10,Hops,12,$4.75 ,Bar,Georgia Street Taphouse,Texas Firehouse Sports,Walk-On's Sports Bistreaux,House Divide,The Big Texan,Dos Equis.png
Coors Light ,Lager-American,4.20%,10,"Barley malt, corn,yeast",12,$3.75 ,Bar,Georgia Street Taphouse,Texas Firehouse Sports,Walk-On's Sports Bistreaux,House Divide,The Big Texan,Coors Light.png
Miller Lite ,Lager - American ,4.20%,10,"Barley malt, corn,yeast",12,$3.75 ,Bar,Georgia Street Taphouse,Texas Firehouse Sports,Walk-On's Sports Bistreaux,House Divide,The Big Texan,Miller Lite.png
